url	gids	local_count	count
vk.com/id314176452	Объединение_Олимп, РобоСпорт_в_МФТИ, Robotics_Artificial_Intelligence_Camp, Arduino_2, LabRazum, Все_об_Ардуино, Arduino_, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino, Занимательная_робототехника, Микроконтроллеры_и_технологии, Отечественные_микроконтроллеры_и_компоненты, Микроконтроллеры_и_электроника_mkprog.ru, Микроконтроллеры, Vt_tech, Микроконтроллеры_STM32, AVR_ARM_микроконтроллеры, ChipEnable, MEGA_AVR_Микроконтроллеры_это_просто, Микроконтроллер_, Программирование_Миландр, Разработка_PCB, Tixer.ru	7	23
vk.com/id276497653	Arduino_1	6	1
vk.com/id206053590	Arduino_	34	1
vk.com/id28776350	ChipEnable	4	1
vk.com/id196221530	Arduino_, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino, Микроконтроллеры_и_технологии, Отечественные_микроконтроллеры_и_компоненты, Микроконтроллеры, Tixer.ru	4	7
vk.com/id142860730	ЦМИТы_и_фаблабы_России	4	1
vk.com/id132215997	Arduino_	3	1
vk.com/id92805822	Робототехника_микроконтроллеры_AVR_Arduino, Микроконтроллеры	3	2
vk.com/id266824130	Все_об_Ардуино, Arduino_, Союз_радиолюбителей_России	3	3
vk.com/id355438082	Arduino_2, Все_об_Ардуино, Arduino_, Arduino_1, Технарю_с_AliExpress	7	5
vk.com/id1513810	Клуб_любителей_ATmega8	7	1
vk.com/id162827857	Arduino_2, Arduino_, Arduino_1	6	3
vk.com/id252541761	Neuron_Hackspace	3	1
vk.com/id425257304	Технарю_с_AliExpress	3	1
vk.com/id165617689	Микроконтроллеры_и_технологии, Микроконтроллеры	3	2
vk.com/id140326223	Arduino_1	3	1
vk.com/id20351471	Robotics_Artificial_Intelligence_Camp, Робототехника_микроконтроллеры_AVR_Arduino	3	2
vk.com/id2426101	Пермский_makerspace, Занимательная_робототехника, Союз_радиолюбителей_России	5	3
vk.com/id3209948	Фестиваль_Rukami	3	1
vk.com/id10050203	Фестиваль_Rukami	9	1
vk.com/id23187298	Искусственный_интеллект_и_робототехника	6	1
vk.com/id9744405	Все_об_Ардуино, Arduino_, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino, Микроконтроллеры, Клуб_любителей_ATmega8	3	6
vk.com/id1694481	Занимательная_робототехника	14	1
vk.com/id126257520	Arduino_, Микроконтроллеры	4	2
vk.com/id4033463	Фестиваль_Rukami	7	1
vk.com/id37852147	Neuron_Hackspace	3	1
vk.com/id172879703	Arduino_, Робототехника_микроконтроллеры_AVR_Arduino	14	2
vk.com/id185420805	Arduino_	4	1
vk.com/id424216889	Технарю_с_AliExpress	3	1
vk.com/id15941796	Arduino_	6	1
vk.com/id1105915	Cadr	6	1
vk.com/id7557531	Робототехника_микроконтроллеры_AVR_Arduino	12	1
vk.com/id7940115	Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino, Микроконтроллеры, AVR_ARM_микроконтроллеры	7	4
vk.com/id35096214	РобоСпорт_в_МФТИ, Занимательная_робототехника	13	2
vk.com/id144178797	Искусственный_интеллект_и_робототехника	3	1
vk.com/id16117286	Микроконтроллеры	3	1
vk.com/id105407845	Arduino_1, Занимательная_робототехника	15	2
vk.com/id182627934	Arduino_, Робототехника_микроконтроллеры_AVR_Arduino	20	2
vk.com/id212803547	Arduino_2, Все_об_Ардуино, Arduino_	7	3
vk.com/id5669136	ЦМИТы_и_фаблабы_России	7	1
vk.com/id18413068	Arduino_1	5	1
vk.com/id121715064	ЦМИТы_и_фаблабы_России	19	1
vk.com/id179822158	ЦМИТы_и_фаблабы_России, Arduino_	3	2
vk.com/id107931085	Arduino_, Занимательная_робототехника	21	2
vk.com/id277385441	Arduino_	4	1
vk.com/id134375579	ChipEnable	19	1
vk.com/id19313109	Arduino_, Технарю_с_AliExpress	5	2
vk.com/id14800997	Arduino_	18	1
vk.com/id6923911	LabRazum	3	1
vk.com/id85927952	Arduino_1	4	1
vk.com/id47424854	Занимательная_робототехника	15	1
vk.com/id585007993	Все_об_Ардуино, Arduino_, ChipEnable, Технарю_с_AliExpress	3	4
vk.com/id142568834	Arduino_	3	1
vk.com/id189455745	Фестиваль_Rukami	7	1
vk.com/id5727305	Микроконтроллеры	5	1
vk.com/id411307636	Искусственный_интеллект_и_робототехника, Все_об_Ардуино, Arduino_, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino, Занимательная_робототехника	5	6
vk.com/id318279762	Arduino_, Arduino_1, Tixer.ru	3	3
vk.com/id98447698	Фестиваль_Rukami, Arduino_2, LabRazum, Все_об_Ардуино, Arduino_, Arduino_1, Робототехника_микроконтроллеры_AVR_Arduino, Технарю_с_AliExpress	3	8
vk.com/id24278530	Занимательная_робототехника	6	1
vk.com/id2884777	Занимательная_робототехника	10	1
vk.com/id10970839	Neuron_Hackspace	13	1
vk.com/id14675765	Arduino_1, Занимательная_робототехника	9	2
vk.com/id47472941	Фестиваль_Rukami	3	1
vk.com/id254272873	Arduino_	6	1
vk.com/id2861575	Робототехника_микроконтроллеры_AVR_Arduino	3	1
vk.com/id222551636	LabRazum, Arduino_	8	2
vk.com/id17196482	Arduino_1, Микроконтроллеры, AVR_ARM_микроконтроллеры	3	3
vk.com/id138564441	Arduino_1	5	1
vk.com/id112204866	Искусственный_интеллект_и_робототехника, Робототехника_микроконтроллеры_AVR_Arduino, Микроконтроллеры	4	3
vk.com/id365548402	Все_об_Ардуино, Arduino_, Занимательная_робототехника	3	3
vk.com/id6533208	Arduino_	5	1
vk.com/id7014255	Технарю_с_AliExpress	4	1
vk.com/id3802194	ЦМИТы_и_фаблабы_России, Искусственный_интеллект_и_робототехника, Робототехника_микроконтроллеры_AVR_Arduino, Занимательная_робототехника	3	4
vk.com/id5533569	Робототехника_микроконтроллеры_AVR_Arduino, Микроконтроллеры	12	2
vk.com/id5403590	ЦМИТы_и_фаблабы_России, Arduino_, Занимательная_робототехника	12	3
vk.com/id344791290	Arduino_	4	1
vk.com/id156620954	Искусственный_интеллект_и_робототехника	3	1
